component,category,source_file,evidence
Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use,overlay,CQE_Card_Kit_v1_2_Master.pdf,Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use
Page 5,other,CQE_Card_Kit_v1_2_Master.pdf,Page 5
Stations,station,CQE_Card_Kit_v1_2_Master.pdf,Stations
"Stations: Measure, Tag, Resume",station,CQE_Card_Kit_v1_2_Master.pdf,"Stations: Measure, Tag, Resume"
Pause cards → test → sticky sidecar → continue,sidecar,CQE_Card_Kit_v1_2_Master.pdf,Pause cards → test → sticky sidecar → continue
"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),",station,CQE_Card_Kit_v1_2_Master.pdf,"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),"
"Bio/Neuro proxies (overlay RMS), Cosmos (shear/field), Robotics (closed-loop error).",overlay,CQE_Card_Kit_v1_2_Master.pdf,"Bio/Neuro proxies (overlay RMS), Cosmos (shear/field), Robotics (closed-loop error)."
Protocol: Dock a card; measure; write a token value on a sticky; attach to card edge; ledger the change;,ledger,CQE_Card_Kit_v1_2_Master.pdf,Protocol: Dock a card; measure; write a token value on a sticky; attach to card edge; ledger the change;
Metric,other,CQE_Card_Kit_v1_2_Master.pdf,Metric
Pre,other,CQE_Card_Kit_v1_2_Master.pdf,Pre
Post,other,CQE_Card_Kit_v1_2_Master.pdf,Post
Receipt,ledger,CQE_Card_Kit_v1_2_Master.pdf,Receipt
Page 6,other,CQE_Card_Kit_v1_2_Master.pdf,Page 6
8-Person Table Playbook,other,CQE_Card_Kit_v1_2_Master.pdf,8-Person Table Playbook
Roles  Stations  Neighbor links,role,CQE_Card_Kit_v1_2_Master.pdf,Roles  Stations  Neighbor links
Roles  Stations  Neighbor links,station,CQE_Card_Kit_v1_2_Master.pdf,Roles  Stations  Neighbor links
"Keeps form_id, ledger, and mirror law; calls",ledger,CQE_Card_Kit_v1_2_Master.pdf,"Keeps form_id, ledger, and mirror law; calls"
"Keeps form_id, ledger, and mirror law; calls",view,CQE_Card_Kit_v1_2_Master.pdf,"Keeps form_id, ledger, and mirror law; calls"
Views H1–H2; runs PSF/FFT mirror; proposes,view,CQE_Card_Kit_v1_2_Master.pdf,Views H1–H2; runs PSF/FFT mirror; proposes
Views H3–H4; manages ΔT and cadence.,view,CQE_Card_Kit_v1_2_Master.pdf,Views H3–H4; manages ΔT and cadence.
Views H5–H6; L↔R parity checks; spin filters.,view,CQE_Card_Kit_v1_2_Master.pdf,Views H5–H6; L↔R parity checks; spin filters.
"Bounds, interval proofs, receipts.",ledger,CQE_Card_Kit_v1_2_Master.pdf,"Bounds, interval proofs, receipts."
"Overlay RMS, gate irreversibility.",overlay,CQE_Card_Kit_v1_2_Master.pdf,"Overlay RMS, gate irreversibility."
Neighbor Links (who talks to whom and when),other,CQE_Card_Kit_v1_2_Master.pdf,Neighbor Links (who talks to whom and when)
Page 7,other,CQE_Card_Kit_v1_2_Master.pdf,Page 7
Theorem Cards,theorem,CQE_Card_Kit_v1_2_Master.pdf,Theorem Cards
Theorem Cards & Argument Protocol,theorem,CQE_Card_Kit_v1_2_Master.pdf,Theorem Cards & Argument Protocol
Theorem Card,theorem,CQE_Card_Kit_v1_2_Master.pdf,Theorem Card
Assumptions:,other,CQE_Card_Kit_v1_2_Master.pdf,Assumptions:
Claim:,other,CQE_Card_Kit_v1_2_Master.pdf,Claim:
Local Test:,other,CQE_Card_Kit_v1_2_Master.pdf,Local Test:
Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,ledger,CQE_Card_Kit_v1_2_Master.pdf,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________
Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,view,CQE_Card_Kit_v1_2_Master.pdf,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________
Page 8,other,CQE_Card_Kit_v1_2_Master.pdf,Page 8
Master Ledger,ledger,CQE_Card_Kit_v1_2_Master.pdf,Master Ledger
Reproducible build receipts,ledger,CQE_Card_Kit_v1_2_Master.pdf,Reproducible build receipts
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,ledger,CQE_Card_Kit_v1_2_Master.pdf,Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING
Octet Map H1..H8: _______________________________________________,view,CQE_Card_Kit_v1_2_Master.pdf,Octet Map H1..H8: _______________________________________________
"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",view,CQE_Card_Kit_v1_2_Master.pdf,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}"
Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,ledger,CQE_Card_Kit_v1_2_Master.pdf,Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________
Page 9,other,CQE_Card_Kit_v1_2_Master.pdf,Page 9
Hypercube Scaffold,other,CQE_Card_Kit_v1_2_Master.pdf,Hypercube Scaffold
Hypercube → Toroidal Loom,overlay,CQE_Card_Kit_v1_2_Master.pdf,Hypercube → Toroidal Loom
From 4D cube projection to chamber shells,other,CQE_Card_Kit_v1_2_Master.pdf,From 4D cube projection to chamber shells
How to use: Tag 8 faces as octet gates; enforce mirror across paired faces. Wrap rails with balsa/tape,view,CQE_Card_Kit_v1_2_Master.pdf,How to use: Tag 8 faces as octet gates; enforce mirror across paired faces. Wrap rails with balsa/tape
Page 10,other,CQE_Card_Kit_v1_2_Master.pdf,Page 10
Sticky Sidecars,sidecar,CQE_Card_Kit_v1_2_Master.pdf,Sticky Sidecars
Sticky Sidecars (Tokens),sidecar,CQE_Card_Kit_v1_2_Master.pdf,Sticky Sidecars (Tokens)
Attach measured values to cards,other,CQE_Card_Kit_v1_2_Master.pdf,Attach measured values to cards
Page 11,other,CQE_Card_Kit_v1_2_Master.pdf,Page 11
Notes:,other,CQE_Card_Kit_v1_2_Master.pdf,Notes:
Page 12,other,CQE_Card_Kit_v1_2_Master.pdf,Page 12
Eight Baseline Packs,other,CQE_Card_Kit_v1_2_Master.pdf,Eight Baseline Packs
Optics,other,CQE_Card_Kit_v1_2_Master.pdf,Optics
■ WFE ≤ 25→22 nm strict,view,CQE_Card_Kit_v1_2_Master.pdf,■ WFE ≤ 25→22 nm strict
Thermal,other,CQE_Card_Kit_v1_2_Master.pdf,Thermal
Polar/Spin/EM,other,CQE_Card_Kit_v1_2_Master.pdf,Polar/Spin/EM
■ AR ≤ 1.5 dB strict,view,CQE_Card_Kit_v1_2_Master.pdf,■ AR ≤ 1.5 dB strict
Math/Logic,other,CQE_Card_Kit_v1_2_Master.pdf,Math/Logic
Bio proxy,other,CQE_Card_Kit_v1_2_Master.pdf,Bio proxy
■ Overlay RMS ≤ τ,overlay,CQE_Card_Kit_v1_2_Master.pdf,■ Overlay RMS ≤ τ
Neuro proxy,other,CQE_Card_Kit_v1_2_Master.pdf,Neuro proxy
Cosmos,other,CQE_Card_Kit_v1_2_Master.pdf,Cosmos
Systems,other,CQE_Card_Kit_v1_2_Master.pdf,Systems
Custom pack notes,other,CQE_Card_Kit_v1_2_Master.pdf,Custom pack notes
Page 13,other,CQE_Card_Kit_v1_2_Master.pdf,Page 13
Class Kit Checklist,other,CQE_Card_Kit_v1_2_Master.pdf,Class Kit Checklist
Budget-friendly supply list,other,CQE_Card_Kit_v1_2_Master.pdf,Budget-friendly supply list
 Transparent overlays (acetate),overlay,CQE_Card_Kit_v1_2_Master.pdf, Transparent overlays (acetate)
" Sticky notes (token sidecars), colored pens",sidecar,CQE_Card_Kit_v1_2_Master.pdf," Sticky notes (token sidecars), colored pens"
 Clipboard for station runs,station,CQE_Card_Kit_v1_2_Master.pdf, Clipboard for station runs
 Ledger binder (Working / Non-Working albums),ledger,CQE_Card_Kit_v1_2_Master.pdf, Ledger binder (Working / Non-Working albums)
Room layout & station assignments,station,CQE_Card_Kit_v1_2_Master.pdf,Room layout & station assignments
Page 14,other,CQE_Card_Kit_v1_2_Master.pdf,Page 14
Page 15,other,CQE_Card_Kit_v1_2_Master.pdf,Page 15
Page 16,other,CQE_Card_Kit_v1_2_Master.pdf,Page 16
Page 17,other,CQE_Card_Kit_v1_2_Master.pdf,Page 17
Page 18,other,CQE_Card_Kit_v1_2_Master.pdf,Page 18
Page 19,other,CQE_Card_Kit_v1_2_Master.pdf,Page 19
CQE Role■Playing Scenes Pack — v1.0,role,CQE_Roleplay_Scenes_v1_0_Master.pdf,CQE Role■Playing Scenes Pack — v1.0
How to use this pack,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,How to use this pack
"a tiny 4■bit receipt. Use the worksheets to standardize record■keeping. The geometry (octet, parity,",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"a tiny 4■bit receipt. Use the worksheets to standardize record■keeping. The geometry (octet, parity,"
"a tiny 4■bit receipt. Use the worksheets to standardize record■keeping. The geometry (octet, parity,",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"a tiny 4■bit receipt. Use the worksheets to standardize record■keeping. The geometry (octet, parity,"
mirror) governs correctness; your labels stay provisional until committed.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,mirror) governs correctness; your labels stay provisional until committed.
Scene 0: Orientation: The CQE Spine Live,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 0: Orientation: The CQE Spine Live
What it teaches (learning targets),other,CQE_Roleplay_Scenes_v1_0_Master.pdf,What it teaches (learning targets)
 See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.
 See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf, See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts.
 Learn how a 2■minute paper run creates a reproducible ledger row.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Learn how a 2■minute paper run creates a reproducible ledger row.
Room,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Room
"One table, 8 colored pens, tape wall for overlays.",overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,"One table, 8 colored pens, tape wall for overlays."
Paper kit,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Paper kit
"Octet sheet, DNA■10, 4■bit sticker, ledger page.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Octet sheet, DNA■10, 4■bit sticker, ledger page."
"Octet sheet, DNA■10, 4■bit sticker, ledger page.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Octet sheet, DNA■10, 4■bit sticker, ledger page."
Instruments,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Instruments
Safety,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Safety
N/A,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,N/A
"■■ Mark 8 views (colored boxes), set a palindromic REST.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"■■ Mark 8 views (colored boxes), set a palindromic REST."
■■ Run a forward↔inverse mirror; circle mismatches (red).,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Run a forward↔inverse mirror; circle mismatches (red).
■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.
"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger."
"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger."
Ledger hook (what gets recorded),ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,Ledger hook (what gets recorded)
"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit."
"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row."
"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row."
■ Which view dominated debt?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ Which view dominated debt?
■ Would a different mirror have failed?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ Would a different mirror have failed?
Scene 1: n=1→n=5: The Hinge that Forces the Octad,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 1: n=1→n=5: The Hinge that Forces the Octad
"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass."
"✓ Checked grid, class map (8), receipt.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Checked grid, class map (8), receipt."
Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix)
Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix)
 Turn a one■way mismatch into a local repair with receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Turn a one■way mismatch into a local repair with receipts.
 Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).,view,CQE_Roleplay_Scenes_v1_0_Master.pdf, Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).
■■ Run both; mark delta windows; choose one Δ■lift from the cookbook; re■run mirror; record debt drop.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Run both; mark delta windows; choose one Δ■lift from the cookbook; re■run mirror; record debt drop.
"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update."
"✓ Before/after overlay with red fix marks, 4■bit row.",overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Before/after overlay with red fix marks, 4■bit row."
■ Was the Δ local? Did it generalize to a second view?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ Was the Δ local? Did it generalize to a second view?
Scene 3: Octet Coverage for ML (A/B→Octet),scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 3: Octet Coverage for ML (A/B→Octet)
Scene 3: Octet Coverage for ML (A/B→Octet),view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 3: Octet Coverage for ML (A/B→Octet)
 Generalize A/B to 8 views; prevent winner■only bias.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf, Generalize A/B to 8 views; prevent winner■only bias.
 Record receipts across slices (metrics × slabs).,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Record receipts across slices (metrics × slabs).
■■ List 8 materially independent views (slices or metrics).,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ List 8 materially independent views (slices or metrics).
"— Views passed, metric triplet, slab size, commit.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Views passed, metric triplet, slab size, commit."
"✓ Octet pass grid, receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Octet pass grid, receipts."
"✓ Octet pass grid, receipts.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Octet pass grid, receipts."
Scene 4: Construction■A Loom: E8 and Leech on Paper,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 4: Construction■A Loom: E8 and Leech on Paper
Scene 4: Construction■A Loom: E8 and Leech on Paper,overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 4: Construction■A Loom: E8 and Leech on Paper
■■ Build E8 halves; overlay mirror; demonstrate root reflections.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Build E8 halves; overlay mirror; demonstrate root reflections.
■■ Build E8 halves; overlay mirror; demonstrate root reflections.,overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Build E8 halves; overlay mirror; demonstrate root reflections.
"— Code id, modulus, glue vector, octad layout, legality receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Code id, modulus, glue vector, octad layout, legality receipts."
"✓ Photo of loom, mask sheet, ledger row.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Photo of loom, mask sheet, ledger row."
"✓ Photo of loom, mask sheet, ledger row.",overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Photo of loom, mask sheet, ledger row."
Scene 5: Sidecar Sprint: 4 Rails in 20 Minutes,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 5: Sidecar Sprint: 4 Rails in 20 Minutes
Scene 5: Sidecar Sprint: 4 Rails in 20 Minutes,sidecar,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 5: Sidecar Sprint: 4 Rails in 20 Minutes
 Converge via receipts; annihilate non■working cheaply.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Converge via receipts; annihilate non■working cheaply.
4 stations; shared octet; sticky token labels.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,4 stations; shared octet; sticky token labels.
4 stations; shared octet; sticky token labels.,station,CQE_Roleplay_Scenes_v1_0_Master.pdf,4 stations; shared octet; sticky token labels.
■■ Run each rail: tokens→octet→mirror→Δ→strict→4■bit; copy receipts to master ledger.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Run each rail: tokens→octet→mirror→Δ→strict→4■bit; copy receipts to master ledger.
■■ Run each rail: tokens→octet→mirror→Δ→strict→4■bit; copy receipts to master ledger.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Run each rail: tokens→octet→mirror→Δ→strict→4■bit; copy receipts to master ledger.
"— 4 receipts, shared form_id, per■rail thresholds.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— 4 receipts, shared form_id, per■rail thresholds."
✓ 4 station sheets; master ledger row.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,✓ 4 station sheets; master ledger row.
✓ 4 station sheets; master ledger row.,station,CQE_Roleplay_Scenes_v1_0_Master.pdf,✓ 4 station sheets; master ledger row.
Scene 6: Two■Scientist Theorem■Card Resolution,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 6: Two■Scientist Theorem■Card Resolution
Scene 6: Two■Scientist Theorem■Card Resolution,theorem,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 6: Two■Scientist Theorem■Card Resolution
 Resolve disputes with claim/evidence/Δ■lift/receipt cards.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Resolve disputes with claim/evidence/Δ■lift/receipt cards.
 Preserve minority view as Non■Working breadcrumb with hash.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf, Preserve minority view as Non■Working breadcrumb with hash.
"Theorem cards, claim wall, mirror worksheet.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Theorem cards, claim wall, mirror worksheet."
"Theorem cards, claim wall, mirror worksheet.",theorem,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Theorem cards, claim wall, mirror worksheet."
■■ Each writes claim+assumptions; test under shared mirror; record receipts; promote passing; archive,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Each writes claim+assumptions; test under shared mirror; record receipts; promote passing; archive
■■ Each writes claim+assumptions; test under shared mirror; record receipts; promote passing; archive,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Each writes claim+assumptions; test under shared mirror; record receipts; promote passing; archive
"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Claim ids, mirror pass/fail, Δ■lift ids, receipts."
"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Claim ids, mirror pass/fail, Δ■lift ids, receipts."
"✓ Card stack, mirror sheet, ledger snippet.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Card stack, mirror sheet, ledger snippet."
"✓ Card stack, mirror sheet, ledger snippet.",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Card stack, mirror sheet, ledger snippet."
Scene 7: 8■Person Table with Neighbor Lanes,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 7: 8■Person Table with Neighbor Lanes
" Role mesh, not silos: 8 seats, 2■bit lanes, neighbor hand■offs.",role,CQE_Roleplay_Scenes_v1_0_Master.pdf," Role mesh, not silos: 8 seats, 2■bit lanes, neighbor hand■offs."
"Round table, role badges, coordination board.",role,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Round table, role badges, coordination board."
■■ Assign roles; run 2 cycles; enforce neighbor receipts; rotate seats; compare throughput.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Assign roles; run 2 cycles; enforce neighbor receipts; rotate seats; compare throughput.
■■ Assign roles; run 2 cycles; enforce neighbor receipts; rotate seats; compare throughput.,role,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Assign roles; run 2 cycles; enforce neighbor receipts; rotate seats; compare throughput.
"✓ Coord board photo, ledger rows.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Coord board photo, ledger rows."
Scene 8: Card■Deck CQE + Lab Stations,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 8: Card■Deck CQE + Lab Stations
Scene 8: Card■Deck CQE + Lab Stations,station,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 8: Card■Deck CQE + Lab Stations
"■■ Map aces→primitives, 2–8 synthesis, 9 full idea, 10 parity twin; face cards = observers; jokers =",view,CQE_Roleplay_Scenes_v1_0_Master.pdf,"■■ Map aces→primitives, 2–8 synthesis, 9 full idea, 10 parity twin; face cards = observers; jokers ="
